1	0	1000	0.7	0.1	0	1	-0.965	0.965	39958	0.0025	0.0909090909090909	11041	11
2	0	1000	0.7	0.1	0	1	-0.984	0.984	40000	0	0	9223	7
3	0	1000	0.7	0.1	0	1	-0.93	0.93	39464.25	0.018555667001003	0	10488	10
4	0	1000	0.7	0.1	0	0	0.4275	0	34455.25	0.0747408237601569	0.15	10947	20
5	0	1000	0.7	0.1	0	1	-0.8885	0.8885	39660.25	0.0172932330827068	0	6851	6
6	0	1000	0.7	0.1	0	1	-0.973	0.973	39994	0.001	0.0909090909090909	11161	11
7	0	1000	0.7	0.1	0	1	-0.9835	0.9835	39952	0.0035	0.111111111111111	9084	9
8	0	1000	0.7	0.1	0	1	-0.088	0.088	39856.25	0.00600600600600601	0.333333333333333	4188	6
9	0	1000	0.7	0.1	0	1	-0.9915	0.9915	39994	0.0015	0	11017	11
10	0	1000	0.7	0.1	0	1	-0.9125	0.9125	39827	0.00875875875875876	0	7294	7
11	0	1000	0.7	0.1	0	1	-0.8935	0.8935	39684	0.0167919799498747	0	6999	7
12	0	1000	0.7	0.1	0	1	-0.9535	0.9535	39737.5	0.0135135135135135	0.111111111111111	8674	9
13	0	1000	0.7	0.1	0	1	-0.958	0.958	39653	0.0130653266331658	0	8597	8
14	0	1000	0.7	0.1	0	1	0.0449999999999999	0.0449999999999999	38936.625	0.0183112919633774	0.375	4928	8
15	0	1000	0.7	0.1	0	1	-0.8695	0.8695	39362.5	0.0189012096774194	0	6910	7
16	0	1000	0.7	0.1	0	1	-0.947	0.947	39588	0.0150451354062187	0	8660	8
17	0	1000	0.7	0.1	0	1	-0.984	0.984	39934.25	0.005	0	8784	8
18	0	1000	0.7	0.1	0	1	-0.991	0.991	39988	0.0015	0.111111111111111	9146	9
19	0	1000	0.7	0.1	0	1	-0.891	0.891	39702.25	0.0135270541082164	0	6965	6
20	0	1000	0.7	0.1	0	1	-0.9295	0.9295	39267	0.0364871665827881	0.0714285714285714	10978	14
21	0	1000	0.7	0.1	0	1	-0.88	0.88	39457.375	0.0195488721804511	0	6882	6
22	0	1000	0.7	0.1	0	1	-0.9765	0.9765	39880.25	0.00650325162581291	0	7817	6
23	0	1000	0.7	0.1	0	1	-0.995	0.995	39988	0.0015	0	8823	7
24	0	1000	0.7	0.1	0	1	-0.891	0.891	38930.625	0.0276369168356998	0.0666666666666667	12897	15
25	0	1000	0.7	0.1	0	1	-0.995	0.995	39964	0.0025	0	8811	8
26	0	1000	0.7	0.1	0	1	-0.9715	0.9715	39845	0.0105	0.111111111111111	8754	9
27	0	1000	0.7	0.1	0	1	-0.934	0.934	39623.5	0.0157815631262525	0	9340	10
28	0	1000	0.7	0.1	0	1	-0.9705	0.9705	39928	0.004	0	11739	12
29	0	1000	0.7	0.1	0	1	-0.949	0.949	39725	0.014543630892678	0	10723	11
30	0	1000	0.7	0.1	0	1	-0.9885	0.9885	39988	0.001	0.111111111111111	15018	18
31	0	1000	0.7	0.1	0	1	-0.9165	0.9165	39265.25	0.0243963782696177	0	8617	8
32	0	1000	0.7	0.1	0	1	-0.9305	0.9305	39311.25	0.0221886031265759	0.111111111111111	8583	9
33	0	1000	0.7	0.1	0	1	-0.9905	0.9905	39946	0.005	0.105263157894737	14662	19
34	0	1000	0.7	0.1	0	1	-0.9855	0.9855	39928	0.005	0	8600	7
35	0	1000	0.7	0.1	0	1	-0.945	0.945	39500.5	0.021356783919598	0.1	9358	10
36	0	1000	0.7	0.1	0	1	-0.9945	0.9945	39952	0.004	0	8575	7
37	0	1000	0.7	0.1	0	1	-0.9625	0.9625	39737.5	0.0120300751879699	0.1	9551	10
38	0	1000	0.7	0.1	0	0	0.354	0	35104.90625	0.0739846928221747	0.15	10684	20
39	0	1000	0.7	0.1	0	1	-0.93	0.93	39463.75	0.0226017076845806	0.0588235294117647	14040	17
40	0	1000	0.7	0.1	0	1	-0.9365	0.9365	39970	0.0025	0	7588	7
41	0	1000	0.7	0.1	0	1	-0.9945	0.9945	40000	0	0	10791	9
42	0	1000	0.7	0.1	0	1	-0.9505	0.9505	39742.75	0.014014014014014	0	9985	10
43	0	1000	0.7	0.1	0	1	-0.986	0.986	39952	0.003	0	10668	11
44	0	1000	0.7	0.1	0	1	-0.9715	0.9715	39809	0.00751126690035053	0	9584	10
45	0	1000	0.7	0.1	0	1	-0.9855	0.9855	39916	0.0045	0.1	10070	10
46	0	1000	0.7	0.1	0	1	-0.8715	0.8715	39334.5	0.0229334677419355	0	6744	6
47	0	1000	0.7	0.1	0	1	-0.9515	0.9515	39636.25	0.0170426065162907	0	8459	8
